demo,bin/sagco-demo,tool,ACTIVE,2026-06-04T19:42:42Z
mission,bin/sagco-mission,tool,ACTIVE,2026-06-04T19:42:42Z
regression,bin/sagco-regression,tool,ACTIVE,2026-06-04T19:42:42Z
portfolio,bin/sagco-portfolio,tool,ACTIVE,2026-06-04T19:42:42Z
palace,bin/sagco-palace,tool,ACTIVE,2026-06-04T19:42:42Z
pdfscan,sagco_ish/pdfscan/bin/sagco-pdfscan,tool,ACTIVE,2026-06-04T19:42:42Z
analyze,sagco_ish/analysis/bin/sagco-analyze,tool,ACTIVE,2026-06-04T19:42:42Z
dashboard,sagco_ish/dashboard/bin/sagco-dashboard,tool,ACTIVE,2026-06-04T19:42:42Z
dispatch,sagco_ish/dispatcher/bin/sagco-dispatch,tool,ACTIVE,2026-06-04T19:42:42Z
capture,sagco_ish/capture/bin/sagco-capture,tool,ACTIVE,2026-06-04T19:42:42Z
eru,sagco_ish/eru/bin/sagco-eru,tool,ACTIVE,2026-06-04T19:42:42Z
htrack,sagco_ish/htrack/bin/sagco-htrack,tool,ACTIVE,2026-06-04T19:42:42Z
scheduler,sagco_ish/scheduler/bin/sagco-scheduler,tool,ACTIVE,2026-06-04T19:42:42Z
state-read,sagco_ish/shared_state/bin/sagco-state-read,mesh,ACTIVE,2026-06-04T19:58:11Z
eru-report,sagco_ish/agents/eru/bin/sagco-eru-report,analysis,ACTIVE,2026-06-04T20:02:40Z
portfolio-generate,sagco_ish/agents/portfolio/bin/sagco-portfolio-generate,portfolio,ACTIVE,2026-06-04T20:14:50Z
portfolio-fuzz,sagco_ish/portfolio/bin/sagco-portfolio-fuzz,portfolio,ACTIVE,2026-06-04T20:14:50Z
bill-fuzz,sagco_ish/fuzz/bin/sagco-bill-fuzz,fuzz,ACTIVE,2026-06-04T20:14:50Z
cellrule,sagco_ish/excel/bin/sagco-cellrule,excel,ACTIVE,2026-06-04T20:30:22Z
hallucheck,sagco_ish/hallucheck/bin/sagco-hallucheck,analysis,ACTIVE,2026-06-04T20:30:22Z
run-alpha,sagco_ish/runtime/bin/sagco-run-alpha,runtime,ACTIVE,2026-06-04T20:33:56Z
health,sagco_ish/health/bin/sagco-health,runtime,ACTIVE,2026-06-04T20:41:44Z
alpha-loop,sagco_ish/loop/bin/sagco-alpha-loop,runtime,ACTIVE,2026-06-04T20:41:44Z
gmail-antibody,sagco_ish/gmail/bin/sagco-gmail-antibody,safety,ACTIVE,2026-06-04T20:41:44Z
deps,sagco_ish/deps/bin/sagco-deps,runtime,ACTIVE,2026-06-04T20:44:49Z
governance-ingest,sagco_ish/governance/bin/sagco-governance-ingest,governance,ACTIVE,2026-06-04T20:50:46Z
repomap,sagco_ish/repo_map/bin/sagco-repomap,evidence,ACTIVE,2026-06-04T20:59:56Z
public-check,sagco_ish/public/bin/sagco-public-check,safety,ACTIVE,2026-06-04T20:59:56Z
public-build,sagco_ish/public/bin/sagco-public-build,portfolio,ACTIVE,2026-06-04T20:59:56Z
pages-pack,sagco_ish/deploy/bin/sagco-pages-pack,deploy,ACTIVE,2026-06-04T21:17:14Z
public-verify,sagco_ish/deploy/bin/sagco-public-verify,deploy,ACTIVE,2026-06-04T21:17:14Z
sagco-call-analyze,sagco_ish/calls/bin/sagco-call-analyze,CALL_GUARDIAN,ACTIVE,2026-06-04T21:22:51Z
sagco-redact,sagco_ish/redact/bin/sagco-redact,REDACT_NODE,ACTIVE,2026-06-04T21:22:51Z
sagco-cite,sagco_ish/lineage/bin/sagco-cite,CITE_NODE,ACTIVE,2026-06-04T21:24:50Z
sagco-lineage,sagco_ish/lineage/bin/sagco-lineage,LINEAGE_NODE,ACTIVE,2026-06-04T21:24:50Z
priorart,sagco_ish/lineage/bin/sagco-priorart,PRIORART_NODE,ACTIVE,2026-06-04T21:27:32Z
sagco-bridge,sagco_ish/bridge/bin/sagco-bridge,BRIDGE_NODE,ACTIVE,2026-06-04T21:40:31Z
sagco-edu-eru,sagco_ish/edu/bin/sagco-edu-eru,EDU_ERU_NODE,ACTIVE,2026-06-04T22:08:54Z
sagco-claim,sagco_ish/claims/bin/sagco-claim,CLAIMS_NODE,ACTIVE,2026-06-04T22:24:36Z
sagco-claim-check,sagco_ish/claims/bin/sagco-claim-check,CLAIMS_NODE,ACTIVE,2026-06-04T22:24:36Z
sagco-claims-report,sagco_ish/claims/bin/sagco-claims-report,CLAIMS_NODE,ACTIVE,2026-06-04T22:24:36Z
sagco-pro-review,sagco_ish/pro_review/bin/sagco-pro-review,PRO_REVIEW_NODE,ACTIVE,2026-06-04T22:26:41Z
sagco-commandments,sagco_ish/constitution/bin/sagco-commandments,CONSTITUTION_NODE,ACTIVE,2026-06-04T22:33:30Z
sagco-antibody,sagco_ish/antibody/bin/sagco-antibody,ANTIBODY_NODE,ACTIVE,2026-06-04T22:44:12Z
sagco-antibody-search,sagco_ish/antibody/bin/sagco-antibody-search,ANTIBODY_NODE,ACTIVE,2026-06-04T22:44:12Z
sagco-invention,sagco_ish/lineage/bin/sagco-invention,INVENTION_NODE,ACTIVE,2026-06-04T22:52:15Z
sagco-invention-read,sagco_ish/lineage/bin/sagco-invention-read,INVENTION_NODE,ACTIVE,2026-06-04T22:52:15Z
